# English translations of the one-sentence summary cell of each root README
# gallery row. Format: <disease directory><TAB><English summary>
#
# Consumed by translations/tools/build_root_readme.py. When upstream adds a new
# gallery row, add one line here; everything else in the row regenerates.
# An ellipsis at the end reproduces a summary that upstream itself truncates.
abdominal-aortic-aneurysm	Progressive dilatation and rupture risk driven by ECM degradation (MMP) in the aortic media together with chronic inflammation. Models beta-blockade, doxycycline, and anti-inflammatory targets.
achalasia	A primary oesophageal motility disorder characterised by failure of the lower oesophageal sphincter (LES) to relax at the oesophagogastric junction plus absent peristalsis in the oesophageal body.
achondroplasia	The commonest form of disproportionate short stature: an autosomal dominant disorder caused by a germline gain-of-function mutation in the transmembrane domain of FGFR3 (4p16.3) — G380R in about 97% of patients (roughly 80% de novo and associated with increased paternal age; homozygous ACH is lethal in the neonatal period).
acne-vulgaris	A 55-ODE model that chains androgen-IGF-1/mTORC1 seborrhoea, the microcomedone reservoir created by infundibular hyperkeratinisation, C. acnes biofilm and antibiotic resistance, and NLRP3-IL-1beta inflammation into a lesion-transition sequence.
acromegaly	GH hypersecretion from a pituitary adenoma raising IGF-1. PK/PD of somatostatin analogues, pegvisomant, and dopamine agonists.
acute-bacterial-meningitis	Writing the injury flux not as bacterial count but as the product of killing rate x bacterial count x inflammatory yield per organism shows by calculation that the product peaks immediately after the first antibiotic dose, and that the steroid which tightens the barrier also cuts vancomycin's CSF penetration along with it.
acute-intermittent-porphyria	Loss of function of the HMBS (PBGD) gene leaves about 50% PBGD activity, so haem precursors (ALA, PBG) accumulate and drive neurotoxic acute attacks: ALA, a structural GABA analogue, competitively inhibits the GABA-A receptor while Fe2+-catalysed autoxidation generates ROS, causing mitochondrial failure, axonal degeneration, and autonomic, motor, and sensory neuropathy.
acute-kidney-injury	An integrated QSP model of the three subtypes — ischaemia-reperfusion (IRI), nephrotoxic (NTX), and sepsis-associated (SA-AKI). ATP depletion leads to mitochondrial failure, then apoptosis/necrosis/ferroptosis and loss of tubular cell viability (TCV), lowering GFR and raising NGAL/KIM-1.
acute-lymphoblastic-leukemia	Clonal leukaemic transformation of precursor B/T lymphocytes through multi-step genetic lesions (BCR-ABL1, ETV6-RUNX1, KMT2A rearrangement, hyperdiploidy, Ph-like, NOTCH1), characterised by bone-marrow-microenvironment-dependent chemoresistance (CXCL12/CXCR4, VCAM1/VLA-4) and resistance to glucocorticoid-receptor-mediated apoptosis.
acute-myeloid-leukemia	FLT3/NPM1/IDH/DNMT3A mutations, the BCL-2 family, leukaemic stem cells, the marrow microenvironment, and epigenetic lesions. PK/PD of venetoclax (BCL-2), azacitidine, gilteritinib (FLT3), enasidenib (IDH2), and cytarabine.
acute-myocardial-infarction	After coronary occlusion the necrotic wavefront advances from endocardium to epicardium according to the difference between collateral flow and basal metabolic demand; reperfusion is both the treatment and a second injury; and infarct size is not an endpoint but the initial condition of a Laplace wall-stress remodelling bifurcation.
acute-pancreatitis	An acute inflammatory disease of the exocrine pancreas, diagnosed on two of three criteria (Atlanta 2012): serum lipase above 3x ULN, characteristic abdominal pain, and imaging findings.
acute-respiratory-distress-syndrome	Simultaneous collapse of the alveolar epithelial and endothelial barriers fills the lung with protein-rich oedema, reducing the ventilatable lung to a baby lung of 20-35%, on top of which the driving pressure, strain, and mechanical power applied by the ventilator feed back as VILI.
addisons-disease	Autoimmune destruction of the adrenal cortex causing cortisol and aldosterone deficiency. Simulates the HPA axis and hydrocortisone/fludrocortisone replacement.
adenomyosis	An oestrogen-dependent chronic disease in which endometrial glands and stroma invade the junctional zone (JZ) of the myometrium (20-35% of women of reproductive age, peaking peri-menopause): JZ hyperperistalsis (more than 4 waves/min perimenstrually, Kunz 1996) plus TIAR (Tissue Injury And Repair, Leyende…
adhd	Prefrontal cortex (PFC) dysfunction from reduced dopamine (DA) and noradrenaline (NE) neurotransmission. Risk genes (DAT1, DRD4, DRD5, SNAP25, COMT) reduce midbrain (VTA to PFC) DA synthesis and locus coeruleus (LC to PFC) NE tone, delaying cortical maturation of the PFC by about three years.
adpkd	PKD1/2 mutation raises cAMP, driving cyst growth and loss of renal function. Effect of tolvaptan (V2 receptor antagonism) on TKV and eGFR.
adrenocortical-carcinoma	Writing plasma mitotane not as a dose but as the overflow of a slowly filling fat reservoir shows by calculation that fat mass leaves the achieved concentration (Css) unchanged and alters only the time to reach it (tau), and that one and the same exposure is read simultaneously in three directions: efficacy, CYP3A4 induction, and neurotoxicity.
adult-onset-stills-disease	IL-1/IL-6/IL-18-mediated autoinflammation with fever, arthritis, and a steep rise in ferritin. Anakinra, canakinumab, and tocilizumab targets.
age-related-macular-degeneration	Ageing, genetics (CFH Y402H, ARMS2 A69S), and complement overactivation drive drusen formation and Bruch's membrane thickening, then RPE dysfunction and lipofuscin (A2E) accumulation, then MAC (C5b-9)-mediated RPE cell death, and finally geographic atrophy (GA, late dry AMD).
al-amyloidosis	Plasma cell dyscrasia (MGUS to SMM to clonal plasma cells) with high CD38 expression hypersecretes monoclonal free light chains (FLC), which nucleate amyloid fibrils and amplify autocatalytically by elongation (beta-sheet polymer) and seeding, damaging the heart (LV thickening, diastolic dysfunction, raised NT-proBNP and hs-TnT), kidney (glomerular amyloid causing nephrotic syndrome, falling eGFR), liver (hepatomegaly, raised ALP), and autonomic…
alagille-syndrome	A model that treats the ductal capacity ceiling created by bile duct paucity as an axis IBAT inhibitors cannot touch, showing that the ceiling on drug effect is set by the number of ducts rather than by bile acids.
alcohol-use-disorder	A closed-loop structure in which drinking itself is an output of the model, separating the opioid-dopamine reinforcement arm from the GABA/glutamate allostatic negative-affect arm to reproduce why naltrexone and acamprosate move different clinical endpoints.
alcoholic-liver-disease	Ethanol to acetaldehyde (ADH/CYP2E1) with ROS generation depletes GSH and engages the Nrf2/KEAP1/ARE oxidative stress defence; gut dysbiosis raises intestinal permeability, letting LPS enter the portal circulation, and via TLR4/MD-2/CD14 activates NF-kB in Kupffer cells, then the NLRP3 inflammasome, then an IL-1beta/TNF-alpha/CXCL8 casca…
alkaptonuria	From the mass balance that inhibiting HPD with nitisinone does not reduce total flux through the tyrosine pathway but only changes its exit, the model derives the asymmetry that dose sets HGA while diet sets tyrosine, and the discrepancy between the fall in urinary and in serum HGA.
allergic-bronchopulmonary-aspergillosis	IgE- and Th2-mediated hypersensitivity to Aspergillus fumigatus colonising the airway forms high-attenuation mucus plugs whose interior becomes a sanctuary where antifungal concentrations fall tenfold, driving relapse and progression to central bronchiectasis.
allergic-rhinitis	An integrated QSP model of the IgE-mast cell axis (FceRI cross-linking to degranulation), the Th2 cytokine cascade (IL-4/5/13), and eosinophil kinetics. Includes the early response to histamine, PGD2, CysLTs (LTC4/D4/E4), and PAF, plus late eosinophil infiltration and the TSLP/IL-33 epithelial alarmin pathway.
alopecia-areata	Collapse of hair follicle immune privilege with IFN-gamma/IL-15 JAK-STAT signalling causing hair loss. Response to JAK inhibitors such as baricitinib.
alpha1-antitrypsin-deficiency	SERPINA1 Glu342Lys (the Z allele) causes loop-sheet polymer accumulation of Z-AAT in the endoplasmic reticulum (gain-of-function hepatotoxicity) plus serum AAT insufficiency (below the 11 uM ELF threshold), leaving neutrophil elastase (NE) unrestrained and producing panlobular emphysema.
alport-syndrome	A hereditary kidney disease in which mutations in COL4A5 (X-linked, about 80%) or COL4A3/COL4A4 (autosomal), encoding the alpha3/alpha4/alpha5 chains of type IV collagen, prevent the mature alpha3-alpha4-alpha5(IV) network from forming in the glomerular basement membrane (GBM), leaving the mechanically fragile fetal alpha1-alpha2(IV) network in place.
alzheimers-disease	Progressive cognitive decline from amyloid-beta deposition, tau neurofibrillary tangles, and neuroinflammation. Anti-amyloid antibodies (lecanemab, donanemab) and cholinesterase inhibitors.
amyotrophic-lateral-sclerosis	Progressive degeneration of upper and lower motor neurons (SOD1, TDP-43, C9orf72). Riluzole, edaravone, and tofersen (SOD1).
androgenetic-alopecia	Writing baldness as a problem of follicle size rather than follicle number, and allowing size to change only at the moment of exit from telogen, derives the 100 hairs shed per day, the flat finasteride dose-response, and the failure of late treatment all from the arithmetic of cycle time.
anemia-of-ckd	Renal fibrosis destroys the EPO-producing cells (REP) and blunts even the hypoxic stimulus, while inflammation and reduced renal hepcidin excretion create functional iron deficiency, producing ESA hyporesponsiveness.
aneurysmal-subarachnoid-hemorrhage	Delayed cerebral ischaemia written as four consumers — large-vessel spasm, microvascular tone, microthrombosis, and loss of perfusion pressure — all eating into one arteriolar dilatory reserve, with oxyhaemoglobin released from subarachnoid blood as the driver.
ankylosing-spondylitis	Enthesitis and bone proliferation on the HLA-B27, IL-23/IL-17, and TNF axes. Effect of TNF and IL-17 inhibitors on BASDAI.
anorexia-nervosa	Cognitive restriction of intake creates a chronic negative energy balance with low leptin, free T3, and IGF-1 and raised cortisol; suppression of GnRH pulsatility produces hypothalamic amenorrhoea and reduced bone formation; and the model also simulates the refeeding syndrome risk created by the insulin surge during nutritional rehabilitation.
anthracycline-cardiotoxicity	Separating the Top2b-DNA cleavage arm, which reads peak myocardial concentration, from the iron-ROS arm, which reads AUC, and modelling how compensatory hypertrophy masks reversible functional loss and irreversible myocyte loss, so that schedule, formulation, dexrazoxane, and concomitant trastuzumab can all be handled together.
antiphospholipid-syndrome	Arterial and venous thrombosis and pregnancy complications caused by antiphospholipid antibodies. Anticoagulation (warfarin/heparin) and hydroxychloroquine.
aortic-dissection	Writing the quantity that tears the aorta not as pressure but as the product of false-lumen wall stress and dP/dt max derives arithmetically the conclusion that vasodilator monotherapy, which lowers pressure alone, can be worse than no treatment.
aortic-stenosis	Valvular endothelial injury (shear stress, oxLDL, loss of NOTCH1) activates BMP-2/4 and TGF-beta1, driving osteoblastic transition of valvular interstitial cells (VIC; Runx2, Osterix, ALP up), raising the RANKL/OPG ratio, producing microcalcification (hydroxyapatite) then macrocalcification, reducing aortic valve area (AVA) and raising the transvalvular pressure gradient…
aplastic-anemia	Activation of autoreactive CD8+ CTL (molecular mimicry, HLA-DR presentation) drives an IFN-gamma/TNF-alpha cytokine storm that kills HSC directly via FasL, perforin/granzyme B, and NF-kB/ROS/p53, depleting the haematopoietic stem cell pool and producing multilineage marrow failure (pancytopenia) with a hypocellular marrow (BM cellularity below 25%).
arrhythmogenic-right-ventricular-cardiomyopathy	Treating a desmosomal mutation as lowering the load threshold at which the intercalated disc fails rather than as an amount of injury, the model writes myocyte loss as fatigue failure proportional to heart rate and to the fourth power of wall stress, and derives right-ventricular selectivity from the Laplace asymmetry.
asymptomatic-hyperuricemia	Urate supersaturation without symptoms, and the risk of progression to gout and renal disease. Lifestyle measures and selective urate lowering (xanthine oxidase inhibition).
atopic-dermatitis	Skin barrier dysfunction with Th2 (IL-4/IL-13/IL-31) inflammation. Dupilumab, JAK inhibitors, and topical calcineurin inhibitors.
atrial-fibrillation	Atrial electrical and structural remodelling and re-entrant circuits. Rhythm/rate control and NOAC anticoagulation strategies.
atypical-hemolytic-uremic-syndrome	Dysregulation of the complement alternative pathway (AP) — CFH/CFI/CD46 mutations, anti-CFH autoantibodies — leads to C3b accumulation and C5 convertase formation, then MAC (C5b-9) generation, then endothelial injury, and thrombotic microangiopathy (TMA): thrombocytopenia, MAHA, and acute kidney injury.
autoimmune-encephalitis	Encephalitis caused by antibodies against neuronal surface antigens such as the NMDAR. Immunotherapy with steroids, IVIG, plasma exchange, and rituximab.
autoimmune-hemolytic-anemia	Red cell destruction by warm IgG or cold IgM autoantibodies. Steroids, rituximab, and sutimlimab (anti-C1s).
autoimmune-hepatitis	T-cell-mediated hepatocyte injury with autoantibodies and hypergammaglobulinaemia. Steroid and azathioprine induction and maintenance.
autoimmune-pancreatitis	IgG4-related lymphoplasmacytic infiltration and fibroinflammation. Steroid induction of remission and rituximab for relapse management.
autoimmune-polyendocrinopathy	AIRE mutation abolishes central tolerance, producing multi-organ endocrine autoimmunity. Models hormone replacement and immunomodulation.
barrett-esophagus	Acid and bile reflux induce CDX2-mediated intestinal metaplasia and, through sequential CDKN2A and TP53 clonal evolution, progress to oesophageal adenocarcinoma; models acid-suppression and aspirin chemoprevention alongside radiofrequency ablation as eradication therapy.
bartter-gitelman-syndrome	A salt-losing tubulopathy model designed so that placing the same NaCl transport defect above the macula densa (TAL) gives Bartter and below it (DCT) gives Gitelman, with the rise in urinary PGE2 and the sign reversal of urinary calcium emerging as computed results.
behcet-disease	Oral and genital ulcers and uveitis, with neutrophil- and IL-1-mediated variable-vessel inflammation. Colchicine, TNF inhibition, and apremilast.
benign-prostatic-hyperplasia	DHT-mediated prostatic growth and smooth muscle tone causing lower urinary tract symptoms. Alpha-blockers and 5-alpha-reductase inhibitors.
beta-thalassemia	Reduced beta-globin synthesis causing ineffective erythropoiesis, chronic haemolytic anaemia, and iron overload. Transfusion, iron chelation, and luspatercept (GDF11 inhibition).
bile-acid-diarrhea	Because the enterohepatic feedback sensor measures absorbed bile acid while the symptoms are made by the bile acid that overflows, freezing the feedback shows that malabsorption alone changes the colonic load by only 0.2% and produces no diarrhoea, and that SeHCAT and C4 read different lesions.
bipolar-disorder	Alternating episodes of dopamine overactivity (mania) and serotonin/NE deficiency (depression). GSK-3beta overactivity lowers mTOR/BDNF and hippocampal neurogenesis; IL-6/TNF-alpha neuroinflammation; CLOCK/BMAL1 circadian disruption; and the CACNA1C (L-type Ca2+ channel) risk allele raising neuronal excitability.
bladder-cancer	FGFR3 mutation (about 60% of NMIBC) drives RAS/MAPK proliferation; TP53, RB1, and CDKN2A lesions mark high-grade MIBC; IFN-gamma-induced PD-L1 permits immune escape; and TGF-beta, Treg, and MDSC suppression.
breast-cancer	Proliferative signalling by subtype (ER+, HER2+, TNBC). Endocrine therapy, CDK4/6 inhibitors, anti-HER2 agents, and immunotherapy.
bronchial-asthma	Th2/eosinophilic airway inflammation and bronchial hyperresponsiveness. ICS, LABA, and anti-IL-5/IL-4Ralpha biologics.
bronchiectasis	The Cole vicious cycle of infection and inflammation, with neutrophil elastase destroying the airway. Airway clearance, antibiotics, and anti-inflammatory therapy.
bronchopulmonary-dysplasia	A model formalising the disease as one in which the preterm infant alveolarisation programme is not destroyed by injury but arrested, permanently losing surface area within a closing developmental window. Caffeine, early hydrocortisone, vitamin A, and LISA are classified into exposure, delivery, and programme terms.
bullous-pemphigoid	Subepidermal blister formation caused by anti-BP180/BP230 antibodies. Steroids, rituximab, and omalizumab.
c3-glomerulopathy	A rare kidney disease in which genetic (CFH/CFI loss of function, CFB/C3 gain of function, CFHR5 duplication) or acquired dysregulation of the complement alternative pathway (a C3 nephritic factor autoantibody binds the C3 convertase C3bBb and blocks factor H-mediated decay) excessively stabilises the convertase, so that C3 breakdown products deposit predominantly in the glomerulus…
